id;nome;cidade;estado;categoria;canal_preferencial;status
CLI091;Marcelo Gomes;São Bernardo do Campo;SP;Ouro;E-commerce;Inativo
CLI092;Daniel Silva;Osasco;SP;Ouro;Loja Física;Ativo
CLI093;Cláudia Almeida;Campinas;SP;Prata;WhatsApp;Ativo
CLI094;Diego Silva;Santo André;SP;Bronze;E-commerce;Ativo
CLI095;Rafael Oliveira;Santo André;SP;Ouro;Loja Física;Ativo
CLI096;Bruno Ribeiro;Santo André;SP;Prata;Loja Física;Ativo
CLI097;Vinícius Santos;Santo André;SP;Diamante;Loja Física;Ativo
CLI098;Cláudia Ferreira;São Paulo;SP;Ouro;Loja Física;Ativo
CLI099;Yasmin Almeida;Barueri;SP;Bronze;E-commerce;Ativo
CLI100;Mateus Ferreira;São Paulo;SP;Bronze;E-commerce;Ativo
CLI101;Vanessa Santos;Osasco;SP;Diamante;E-commerce;Inativo
CLI102;Carlos Souza;Guarulhos;SP;Ouro;WhatsApp;Ativo
CLI103;Ricardo Almeida;São Bernardo do Campo;SP;Prata;E-commerce;Ativo
CLI104;Vinícius Oliveira;Campinas;SP;Ouro;Loja Física;Ativo
CLI105;Cláudia Ferreira;Santo André;SP;Prata;E-commerce;Ativo
CLI106;Fernanda Gomes;São Paulo;SP;Prata;Loja Física;Ativo
CLI107;Marcelo Ferreira;Campinas;SP;Bronze;Loja Física;Ativo
CLI108;Ricardo Gomes;São Bernardo do Campo;SP;Bronze;Loja Física;Ativo
CLI109;Cláudia Costa;Barueri;SP;Bronze;Loja Física;Ativo
CLI110;Lucas Ferreira;São Bernardo do Campo;SP;Prata;WhatsApp;Ativo
CLI111;Lucas Ribeiro;Guarulhos;SP;Ouro;Loja Física;Ativo
CLI112;Larissa Lima;Santo André;SP;Ouro;E-commerce;Ativo
CLI113;Lucas Oliveira;Campinas;SP;Prata;E-commerce;Ativo
CLI114;Igor Souza;Osasco;SP;Diamante;E-commerce;Ativo
CLI115;Daniel Santos;São Bernardo do Campo;SP;Bronze;Loja Física;Ativo
CLI116;Ricardo Almeida;Guarulhos;SP;Ouro;Loja Física;Ativo
CLI117;Eduardo Souza;Campinas;SP;Bronze;E-commerce;Ativo
CLI118;Mateus Santos;Guarulhos;SP;Bronze;Loja Física;Ativo
CLI119;Sofia Oliveira;Guarulhos;SP;Prata;Loja Física;Ativo
CLI120;Eduardo Costa;São Paulo;SP;Bronze;Loja Física;Ativo
